Symbol,Name,Price_intraday,Change,Change_pct,YTD_Return,Three_Months_Return,One_Year_Return,Three_Year_Return,Five_Year_Return,Net_Assets,50_Day_Avg,200_Day_Avg,Morningstar Rating
JLPCX,JPMorgan US Large Cap Core Plus C,15.36,-0.04,-0.26%,+1.38%,+1.38%,+28.74%,+28.25%,+28.85%,2.844B,16.26,15.63,5 stars
JLPZX,JPMorgan US Large Cap Core Plus R2,17.35,-0.04,-0.23%,+1.34%,+1.40%,+28.83%,+28.40%,+29.05%,2.844B,18.27,17.51,5 stars
JLPYX,JPMorgan US Large Cap Core Plus R6,21.72,-0.05,-0.23%,+1.40%,+1.62%,+29.84%,+29.41%,+30.00%,2.844B,22.70,21.60,5 stars
JLPSX,JPMorgan US Large Cap Core Plus I,21.35,-0.05,-0.23%,+1.42%,+1.61%,+29.82%,+29.20%,+29.78%,2.844B,22.31,21.25,5 stars
DPCFX,Macquarie Diversified Income C,7.53,+0.02,+0.27%,-0.41%,-2.30%,+5.47%,-1.93%,+9.93%,2.844B,7.60,7.62,2 stars
DPFFX,Macquarie Diversified Income Instl,7.54,+0.02,+0.27%,-0.37%,-1.93%,+6.52%,-0.94%,+10.89%,2.844B,7.61,7.62,4 stars
DPZRX,Macquarie Diversified Income R6,7.54,+0.02,+0.27%,-0.36%,-2.03%,+6.62%,-0.86%,+10.99%,2.844B,7.61,7.63,4 stars
DPRFX,Macquarie Diversified Income R,7.53,+0.02,+0.27%,-0.25%,-2.05%,+6.00%,-1.44%,+10.35%,2.844B,7.59,7.61,3 stars
DPDFX,Macquarie Diversified Income A,7.53,+0.01,+0.13%,-0.24%,-1.99%,+6.40%,-1.19%,+10.75%,2.844B,7.60,7.62,3 stars
PFPMX,Parnassus Mid Cap Fund,38.61,+0.42,+1.10%,+1.60%,-3.85%,+12.92%,+16.64%,+29.01%,2.843B,41.46,40.44,1 star
PARMX,Parnassus Mid-Cap,38.42,+0.42,+1.11%,+1.58%,-3.91%,+12.67%,+16.40%,+28.75%,2.843B,41.14,40.20,2 stars
NHFIX,Northern High Yield Fixed Income,6.07,+0.01,+0.17%,+0.39%,+0.67%,+13.82%,+5.43%,+15.88%,2.838B,6.09,6.03,3 stars
FCSKX,Franklin Convertible Securities R6,23.60,+0.14,+0.60%,+0.86%,+4.62%,+10.33%,+7.75%,+24.32%,2.833B,24.05,22.48,5 stars
FISCX,Franklin Convertible Securities A,23.36,+0.14,+0.60%,+0.87%,+4.54%,+9.97%,+7.41%,+23.88%,2.833B,23.81,22.26,5 stars
FROTX,Franklin Convertible Securities Fund,22.69,+0.13,+0.58%,+0.85%,+4.33%,+9.16%,+6.60%,+22.98%,2.833B,23.13,21.63,5 stars
FCSZX,Franklin Convertible Securities Adv,23.36,+0.14,+0.60%,+0.87%,+4.61%,+10.25%,+7.69%,+24.18%,2.833B,23.81,22.26,5 stars
SFNNX,Schwab Fundamental Intl Equity Index Fd,10.46,+0.02,+0.19%,+0.77%,-4.67%,+19.92%,+14.43%,+18.09%,2.832B,10.80,11.10,4 stars
FSLTX,Strategic Advisers Alternatives,9.73,+0.01,+0.10%,--,--,--,--,--,2.831B,9.90,9.79,0 star
AITFX,Invesco Limited Term Municipal Income A2,10.91,+0.01,+0.09%,-0.33%,-0.38%,+4.26%,+0.58%,+4.34%,2.831B,10.98,10.99,5 stars
ATFSX,Invesco Limited Term Municipal Income R6,10.90,+0.02,+0.18%,-0.33%,-0.37%,+4.31%,+0.72%,+4.51%,2.831B,10.97,10.98,5 stars
ATFIX,Invesco Limited Term Municipal Income R5,10.91,+0.01,+0.09%,-0.33%,-0.49%,+4.33%,+0.67%,+4.49%,2.831B,10.97,10.99,5 stars
ATFAX,Invesco Limited Term Municipal Income A,10.91,+0.01,+0.09%,-0.33%,-0.44%,+4.09%,+0.41%,+4.18%,2.831B,10.97,10.98,4 stars
ATFYX,Invesco Limited Term Municipal Income Y,10.90,+0.02,+0.18%,-0.24%,-0.39%,+4.26%,+0.57%,+4.34%,2.831B,10.97,10.98,5 stars
ATFCX,Invesco Limited Term Municipal Income C,10.90,+0.01,+0.09%,-0.34%,-0.61%,+3.22%,-0.43%,+3.40%,2.831B,10.97,10.98,2 stars
MBCYX,MassMutual Blue Chip Growth Svc,22.78,-0.16,-0.70%,+0.92%,+7.79%,+50.36%,+17.44%,+30.60%,2.83B,23.08,22.55,4 stars
MMZMX,-,23.38,-0.16,-0.68%,+34.51%,+14.23%,+50.60%,+17.65%,+30.89%,2.83B,23.66,23.09,4 stars
MBCZX,MassMutual Blue Chip Growth I,23.59,-0.16,-0.67%,+0.93%,+7.85%,+50.60%,+17.65%,+30.89%,2.83B,23.86,23.26,4 stars
MBGFX,MassMutual Blue Chip Growth R4,19.30,-0.14,-0.72%,+0.93%,+7.69%,+50.03%,+17.14%,+30.27%,2.83B,19.58,19.40,4 stars
MBCLX,MassMutual Blue Chip Growth Adm,21.87,-0.15,-0.68%,+0.92%,+7.72%,+50.25%,+17.30%,+30.54%,2.83B,22.17,21.73,4 stars
MBCNX,MassMutual Blue Chip Growth R3,15.61,-0.11,-0.70%,+0.90%,+7.66%,+49.66%,+16.90%,+29.97%,2.83B,15.89,16.05,3 stars
MBCSX,MassMutual Blue Chip Growth R5,23.38,-0.16,-0.68%,+0.90%,+7.78%,+50.55%,+17.56%,+30.75%,2.83B,23.68,23.09,4 stars
MBCGX,MassMutual Blue Chip Growth A,19.22,-0.13,-0.67%,+0.89%,+7.67%,+49.89%,+17.02%,+30.13%,2.83B,19.51,19.33,4 stars
VMACX,Virtus KAR Mid-Cap Core A,58.70,+0.64,+1.10%,+0.89%,-3.06%,+22.38%,+24.95%,+30.63%,2.829B,59.60,57.49,4 stars
VIMCX,Virtus KAR Mid-Cap Core I,60.70,+0.67,+1.12%,+0.87%,-3.01%,+22.68%,+25.26%,+30.93%,2.829B,61.62,59.39,4 stars
VMCCX,Virtus KAR Mid-Cap Core C,52.14,+0.57,+1.11%,+0.86%,-3.23%,+21.47%,+24.01%,+29.66%,2.829B,52.98,51.22,3 stars
VRMCX,Virtus KAR Mid-Cap Core R6,61.06,+0.67,+1.11%,+0.89%,-2.97%,+22.77%,+25.34%,+31.08%,2.829B,61.97,59.72,3 stars
GCEAX,AB Global Core Equity A,17.01,+0.05,+0.29%,+0.65%,-3.27%,+19.60%,+17.84%,+27.37%,2.827B,17.46,17.18,2 stars
GCECX,AB Global Core Equity C,16.56,+0.05,+0.30%,+0.61%,-3.46%,+18.70%,+16.96%,+26.50%,2.827B,16.96,16.71,2 stars
GCEYX,AB Global Core Equity Advisor,17.01,+0.06,+0.35%,+0.65%,-3.26%,+19.87%,+18.14%,+27.70%,2.827B,17.50,17.24,3 stars
FTYJX,Fidelity Advisor Freedom Blend 2030 M,11.24,+0.03,+0.27%,+0.54%,-1.73%,+14.73%,+10.51%,+22.00%,2.823B,11.47,11.25,2 stars
FJEFX,Fidelity Advisor Freedom Blend 2030 I,11.31,+0.02,+0.18%,+0.62%,-1.58%,+15.32%,+11.18%,+22.48%,2.823B,11.57,11.33,3 stars
FFBPX,Fidelity Freedom Blnd 2030 Premier,11.35,+0.03,+0.27%,+10.41%,+2.65%,+15.59%,+11.27%,+22.84%,2.823B,11.61,11.38,3 stars
FHKDX,Fidelity Freedom Blend 2030 K6,11.37,+0.03,+0.26%,+0.53%,-1.65%,+15.59%,+11.27%,+22.84%,2.823B,11.64,11.40,3 stars
FHAEX,Fidelity Freedom Blend 2030 K,11.33,+0.03,+0.27%,+0.53%,-1.69%,+15.42%,+11.16%,+22.55%,2.823B,11.59,11.35,3 stars
FJTMX,Fidelity Advisor Freedom Blend 2030 C,11.12,+0.03,+0.27%,+0.54%,-1.93%,+14.18%,+10.01%,+21.39%,2.823B,11.32,11.12,1 star
FHATX,Fidelity Freedom Blend 2030,11.29,+0.03,+0.27%,+0.54%,-1.64%,+15.29%,+11.11%,+22.59%,2.823B,11.55,11.31,3 stars
FJLMX,Fidelity Advisor Freedom Blend 2030 Z,11.33,+0.02,+0.18%,+0.62%,-1.58%,+15.38%,+11.25%,+22.66%,2.823B,11.59,11.36,3 stars
FJAMX,Fidelity Advisor Freedom Blend 2030 A,11.23,+0.03,+0.27%,+0.54%,-1.74%,+14.99%,+10.89%,+22.30%,2.823B,11.48,11.25,2 stars
SRBAX,Columbia Total Return Bond S,29.78,+0.09,+0.30%,+2.11%,-1.98%,+7.93%,+0.22%,+9.44%,2.822B,30.11,30.27,3 stars
LIBCX,Columbia Total Return Bond C,29.77,+0.10,+0.34%,-0.34%,-2.90%,+6.86%,-0.78%,+8.35%,2.822B,30.09,30.28,2 stars
SRBFX,Columbia Total Return Bond Inst,29.78,+0.09,+0.30%,-0.30%,-2.65%,+7.89%,+0.22%,+9.43%,2.822B,30.10,30.29,3 stars
LIBAX,Columbia Total Return Bond A,29.77,+0.10,+0.34%,-0.31%,-2.71%,+7.66%,-0.00%,+9.04%,2.822B,30.09,30.27,3 stars
CTBYX,Columbia Total Return Bond Inst3,29.79,+0.10,+0.34%,-0.29%,-2.62%,+8.06%,+0.34%,+9.57%,2.822B,30.11,30.30,4 stars
CIBRX,Columbia Total Return Bond R,29.78,+0.10,+0.34%,-0.32%,-2.77%,+7.39%,-0.28%,+8.89%,2.822B,30.10,30.29,3 stars
CTBRX,Columbia Total Return Bond Inst2,29.73,+0.10,+0.34%,-0.30%,-2.64%,+8.02%,+0.31%,+9.53%,2.822B,30.05,30.23,4 stars
SSAKX,State Street Target Retirement 2040 R3,14.42,+0.02,+0.14%,+13.13%,+4.60%,+17.65%,+11.75%,+24.64%,2.809B,15.06,14.68,3 stars
SSCQX,State Street Target Retirement 2040 K,14.41,+0.03,+0.21%,+0.56%,-1.17%,+17.82%,+13.15%,+24.66%,2.809B,15.10,14.71,3 stars
SSCNX,State Street Target Retirement 2040 I,14.22,+0.03,+0.21%,+0.57%,-1.19%,+17.65%,+11.75%,+24.64%,2.809B,14.89,14.51,2 stars
FDMLX,Fidelity Series Intrinsic Opps,10.94,+0.02,+0.18%,+2.73%,+0.99%,+19.67%,+27.63%,+17.68%,2.805B,11.21,11.47,5 stars
LCGNX,William Blair Large Cap Growth N,27.15,-0.21,-0.77%,+0.77%,+1.97%,+40.11%,+28.03%,+36.00%,2.804B,28.80,27.45,3 stars
LCGJX,William Blair Large Cap Growth R6,29.33,-0.23,-0.78%,+29.24%,+11.67%,-32.46%,+36.59%,+5.21%,2.804B,31.06,29.53,4 stars
LCGFX,William Blair Large Cap Growth I,29.34,-0.23,-0.78%,+0.82%,+2.02%,+40.48%,+28.39%,+36.35%,2.804B,31.04,29.54,4 stars
MIAGX,MFS Aggressive Growth Allocation I,30.91,+0.17,+0.55%,+1.25%,-1.12%,+16.27%,+19.15%,+29.96%,2.8B,32.14,31.42,4 stars
AGGPX,MFS Aggressive Growth Allocation R6,30.90,+0.16,+0.52%,+15.05%,+5.92%,-17.72%,+14.68%,-7.65%,2.8B,32.17,31.42,3 stars
MAWAX,MFS Aggressive Growth Allocation R2,29.42,+0.15,+0.51%,+1.25%,-1.23%,+15.66%,+18.57%,+29.30%,2.8B,30.55,29.89,3 stars
MAALX,MFS Aggressive Growth Allocation R4,30.35,+0.16,+0.53%,+1.24%,-1.10%,+16.30%,+19.20%,+29.93%,2.8B,31.58,30.88,4 stars
MCAGX,MFS Aggressive Growth Allocation C,29.22,+0.15,+0.52%,+1.22%,-1.33%,+15.15%,+17.99%,+28.68%,2.8B,30.25,29.62,3 stars
MBAGX,MFS Aggressive Growth Allocation B,29.90,+0.16,+0.54%,+1.23%,-1.35%,+15.12%,+17.97%,+28.66%,2.8B,30.87,30.20,3 stars
MAAHX,MFS Aggressive Growth Allocation R3,29.94,+0.16,+0.54%,+1.26%,-1.16%,+15.98%,+18.92%,+29.58%,2.8B,31.11,30.43,3 stars
MAAGX,MFS Aggressive Growth Allocation A,30.21,+0.16,+0.53%,+1.25%,-1.16%,+15.98%,+18.89%,+29.67%,2.8B,31.39,30.70,3 stars
MAAFX,MFS Aggressive Growth Allocation R1,28.72,+0.16,+0.56%,+1.20%,-1.37%,+15.12%,+18.00%,+28.63%,2.8B,29.69,29.06,3 stars
GAOTX,JPMorgan Global Allocation Fund,20.28,+0.06,+0.30%,+0.55%,-2.09%,+12.35%,+9.05%,+15.80%,2.798B,20.54,20.29,3 stars
GAOSX,JPMorgan Global Allocation Fund,20.44,+0.07,+0.34%,+0.54%,-2.04%,+12.78%,+9.45%,+16.26%,2.798B,20.69,20.44,3 stars
GAONX,JPMorgan Global Allocation Fund,19.98,+0.06,+0.30%,+0.56%,-2.19%,+12.14%,+8.77%,+15.56%,2.798B,20.23,20.00,3 stars
GAOFX,JPMorgan Global Allocation Fund,20.26,+0.06,+0.30%,+0.55%,-2.02%,+12.70%,+9.30%,+16.14%,2.798B,20.51,20.27,3 stars
GAOCX,JPMorgan Global Allocation Fund,19.70,+0.06,+0.31%,+0.56%,-2.19%,+11.92%,+8.66%,+15.40%,2.798B,19.95,19.72,3 stars
GAOAX,JPMorgan Global Allocation Fund,20.23,+0.06,+0.30%,+0.60%,-2.08%,+12.45%,+9.16%,+15.94%,2.798B,20.48,20.24,3 stars
GAOZX,JPMorgan Global Allocation Fund,20.46,+0.07,+0.34%,+0.54%,-1.98%,+12.97%,+9.60%,+16.42%,2.798B,20.71,20.46,3 stars
GAORX,JPMorgan Global Allocation Fund,20.45,+0.06,+0.29%,+0.54%,-1.99%,+12.84%,+9.49%,+16.29%,2.798B,20.71,20.46,3 stars
GMDZX,GuideStone Funds Medium-Duration Bond Fund,12.52,+0.03,+0.24%,-0.24%,-2.00%,+6.01%,-2.27%,+9.58%,2.794B,12.62,12.71,2 stars
GMDYX,GuideStone Funds Medium-Duration Bond Fund,12.52,+0.03,+0.24%,-0.24%,-1.94%,+6.28%,-2.07%,+9.81%,2.794B,12.63,12.71,3 stars
ANGLX,Angel Oak Multi-Strategy Income A,8.61,+0.02,+0.23%,-0.14%,-0.29%,+5.06%,+4.05%,+4.71%,2.794B,8.65,8.63,1 star
ANGIX,Angel Oak Multi-Strategy Income Instl,8.58,+0.01,+0.12%,-0.02%,-0.22%,+5.34%,+4.22%,+4.98%,2.794B,8.62,8.60,2 stars
ANGCX,Angel Oak Multi-Strategy Income C,8.50,+0.01,+0.12%,-0.17%,-0.47%,+4.19%,+3.32%,+3.90%,2.794B,8.54,8.53,1 star
FTTHX,Fidelity Advisor Freedom 2035 M,14.52,+0.04,+0.28%,+0.84%,-1.85%,+16.09%,+13.32%,+25.01%,2.793B,14.88,14.60,3 stars
FITHX,Fidelity Advisor Freedom 2035 I,15.24,+0.04,+0.26%,+0.86%,-1.67%,+16.65%,+13.90%,+25.75%,2.793B,15.47,15.12,3 stars
FIJOX,Fidelity Advisor Freedom 2035 Z,14.78,+0.04,+0.27%,+0.89%,-1.66%,+16.74%,+14.04%,+25.88%,2.793B,15.20,14.89,3 stars
FCTHX,Fidelity Advisor Freedom 2035 C,14.00,+0.04,+0.29%,+0.87%,-1.92%,+15.58%,+12.73%,+24.54%,2.793B,14.32,14.06,2 stars
FHGLX,Fidelity Advisor Freedom 2035 K6,14.95,+0.05,+0.34%,+0.88%,-1.61%,+16.96%,+14.09%,+25.98%,2.793B,15.38,15.06,4 stars
FATHX,Fidelity Advisor Freedom 2035 A,14.81,+0.04,+0.27%,+0.89%,-1.72%,+16.37%,+13.61%,+25.45%,2.793B,15.18,14.88,3 stars
JORIX,Janus Henderson Global Select S,18.56,+0.16,+0.87%,+1.27%,-0.78%,+16.73%,+15.51%,+26.70%,2.786B,19.38,19.62,4 stars
JSLNX,Janus Henderson Global Select N,18.34,+0.15,+0.82%,+1.28%,-0.61%,+17.46%,+16.26%,+27.55%,2.786B,19.24,19.47,4 stars
JORRX,Janus Henderson Global Select R,18.05,+0.15,+0.84%,+1.24%,-0.82%,+16.53%,+15.22%,+26.46%,2.786B,18.88,19.14,4 stars
JORFX,Janus Henderson Global Select I,18.39,+0.15,+0.82%,+1.28%,-0.62%,+17.38%,+16.19%,+27.42%,2.786B,19.25,19.50,4 stars
JORCX,Janus Henderson Global Select C,17.31,+0.15,+0.87%,+1.24%,-0.89%,+16.24%,+14.88%,+26.10%,2.786B,18.10,18.37,3 stars
JANRX,Janus Henderson Global Select D,18.33,+0.15,+0.83%,+1.34%,-0.61%,+17.34%,+16.18%,+27.41%,2.786B,19.18,19.43,4 stars
JORAX,Janus Henderson Global Select A,18.50,+0.16,+0.87%,+1.27%,-0.71%,+17.10%,+15.89%,+27.17%,2.786B,19.34,19.58,4 stars
JORNX,Janus Henderson Global Select T,18.39,+0.16,+0.88%,+1.28%,-0.67%,+17.29%,+16.05%,+27.32%,2.786B,19.24,19.48,4 stars
TRRSX,Nuveen Real Estate Sec Sel Retire,19.00,+0.36,+1.93%,-1.69%,-7.16%,+11.91%,+39.05%,+30.78%,2.785B,19.57,18.84,3 stars
TIREX,Nuveen Real Estate Sec Sel R6,18.04,+0.34,+1.92%,-1.61%,-7.06%,+12.19%,+39.41%,+31.09%,2.785B,18.58,17.90,3 stars
TIRHX,Nuveen Real Estate Sec Sel I,18.05,+0.34,+1.92%,-1.67%,-7.14%,+12.04%,+39.24%,+30.85%,2.785B,18.60,17.91,3 stars
TCREX,Nuveen Real Estate Sec Sel A,17.86,+0.33,+1.88%,-1.63%,-7.14%,+11.85%,+39.02%,+30.78%,2.785B,18.40,17.73,3 stars
TRRPX,Nuveen Real Estate Sec Sel Premier,18.06,+0.34,+1.92%,-1.66%,-7.14%,+12.07%,+39.22%,+30.88%,2.785B,18.60,17.92,3 stars
FSCJX,Fidelity SAI Canada Equity Index,10.61,-0.03,-0.28%,--,--,--,--,--,2.782B,10.87,10.60,0 star
FSSAX,Franklin Small Cap Growth Adv,27.62,+0.10,+0.36%,+3.58%,+5.24%,+31.05%,-0.46%,+33.28%,2.769B,27.56,25.40,3 stars
FSGRX,Franklin Small Cap Growth A,24.13,+0.08,+0.33%,+3.57%,+5.21%,+30.65%,-0.73%,+32.96%,2.769B,24.10,22.22,3 stars
FSMLX,Franklin Small Cap Growth R6,28.47,+0.09,+0.32%,+3.61%,+5.31%,+31.24%,-0.35%,+33.54%,2.769B,28.38,26.16,3 stars
FCSGX,Franklin Small Cap Growth C,16.42,+0.05,+0.31%,+3.54%,+5.00%,+29.87%,-1.46%,+32.00%,2.769B,16.42,15.17,2 stars
FSSRX,Franklin Small Cap Growth R,21.69,+0.08,+0.37%,+3.55%,+5.11%,+30.36%,-1.00%,+32.58%,2.769B,21.66,19.99,3 stars
FHDFX,Fidelity Advisor Freedom Blend 2045 C,12.39,+0.03,+0.24%,+1.06%,-1.23%,+19.34%,+14.97%,+25.23%,2.767B,12.64,12.28,1 star
FHXDX,Fidelity Freedom Blend 2045 K,12.72,+0.03,+0.24%,+1.04%,-1.00%,+20.68%,+16.37%,+26.65%,2.767B,13.03,12.64,4 stars
FHGFX,Fidelity Advisor Freedom Blend 2045 A,12.60,+0.04,+0.32%,+1.05%,-1.12%,+20.11%,+15.95%,+26.22%,2.767B,12.89,12.51,3 stars
FHBFX,Fidelity Advisor Freedom Blend 2045 Z,12.73,+0.03,+0.24%,+1.11%,-0.95%,+20.60%,+16.36%,+26.64%,2.767B,13.05,12.65,3 stars
FHAQX,Fidelity Freedom Blend 2045,12.67,+0.03,+0.24%,+1.04%,-1.03%,+20.50%,+16.20%,+26.44%,2.767B,12.98,12.59,3 stars
FHCFX,Fidelity Advisor Freedom Blend 2045 I,12.67,+0.03,+0.24%,+1.12%,-0.97%,+20.45%,+16.21%,+26.47%,2.767B,12.98,12.58,3 stars
FHFDX,Fidelity Freedom Blend 2045 K6,12.78,+0.03,+0.24%,+1.11%,-0.95%,+20.71%,+16.40%,+26.78%,2.767B,13.11,12.70,4 stars
FFBUX,Fidelity Freedom Blnd 2045 Premier,12.75,+0.03,+0.24%,+15.37%,+5.22%,+20.50%,+16.20%,+26.44%,2.767B,13.08,12.68,4 stars
FHEFX,Fidelity Advisor Freedom Blend 2045 M,12.56,+0.03,+0.24%,+1.05%,-1.14%,+19.86%,+15.70%,+25.79%,2.767B,12.84,12.46,2 stars
NEZYX,Loomis Sayles Strategic Income Y,12.09,+0.02,+0.17%,+0.42%,-0.69%,+8.30%,+4.12%,+11.05%,2.764B,12.16,12.00,2 stars
NEFZX,Loomis Sayles Strategic Income A,12.11,+0.02,+0.17%,+0.42%,-0.75%,+8.02%,+3.85%,+10.84%,2.764B,12.18,12.02,2 stars
NECZX,Loomis Sayles Strategic Income C,12.28,+0.02,+0.16%,+0.33%,-0.94%,+7.26%,+3.13%,+9.95%,2.764B,12.36,12.18,1 star
NEZNX,Loomis Sayles Strategic Income N,12.09,+0.02,+0.17%,+0.42%,-0.67%,+8.45%,+4.19%,+11.14%,2.764B,12.17,12.00,2 stars
NEZAX,Loomis Sayles Strategic Income Admin,12.05,+0.02,+0.17%,+0.33%,-0.82%,+7.78%,+3.68%,+10.52%,2.764B,12.13,11.96,2 stars
FOKFX,Fidelity OTC K6,26.00,-0.19,-0.73%,+15.79%,+9.41%,--,--,--,2.763B,26.01,24.55,0 star
MSGFX,Morgan Stanley Inst Global Franchise C,31.80,+0.29,+0.92%,+0.03%,-2.62%,+15.29%,+20.74%,+28.27%,2.762B,34.27,34.28,2 stars
MSFBX,Morgan Stanley Inst Global Franchise A,32.90,+0.30,+0.92%,+0.06%,-2.42%,+16.16%,+21.61%,+29.24%,2.762B,35.37,35.38,4 stars
MSFLX,Morgan Stanley Inst Global Franchise L,32.81,+0.30,+0.92%,+0.03%,-2.57%,+15.57%,+21.02%,+28.62%,2.762B,35.28,35.23,3 stars
MSFAX,Morgan Stanley Inst Global Franchise I,33.90,+0.31,+0.92%,+0.09%,-2.36%,+16.42%,+21.92%,+29.60%,2.762B,36.42,36.39,4 stars
MGISX,Morgan Stanley Inst Global Franchise R6,33.91,+0.31,+0.92%,+0.09%,-2.34%,+16.52%,+22.05%,+29.67%,2.762B,36.52,36.44,3 stars
CALRX,Calvert Small-Cap R6,37.88,+0.31,+0.83%,+1.62%,+1.58%,+11.81%,+20.04%,+26.31%,2.76B,38.51,36.13,3 stars
CCVAX,Calvert Small-Cap A,34.51,+0.28,+0.82%,+1.63%,+1.51%,+11.44%,+19.67%,+26.01%,2.76B,35.10,32.95,3 stars
CSVIX,Calvert Small-Cap I,37.85,+0.31,+0.83%,+1.62%,+1.58%,+11.73%,+19.95%,+26.30%,2.76B,38.50,36.13,3 stars
CSCCX,Calvert Small-Cap C,27.96,+0.23,+0.83%,+1.58%,+1.30%,+10.59%,+18.77%,+25.05%,2.76B,28.49,26.82,3 stars
REGGX,American Funds Emerging Markets Bd R6,7.52,-0.02,-0.27%,+0.56%,-2.98%,+13.86%,-3.58%,+14.07%,2.756B,7.66,7.81,3 stars
EBNCX,American Funds Emerging Markets Bd C,7.52,-0.02,-0.27%,+0.52%,-3.26%,+12.57%,-4.66%,+12.82%,2.756B,7.66,7.81,2 stars
REGAX,American Funds Emerging Markets Bd R1,7.52,-0.02,-0.27%,+0.52%,-3.22%,+12.75%,-4.42%,+13.10%,2.756B,7.66,7.81,2 stars
CBNAX,American Funds Emerging Markets Bd 529A,7.52,-0.02,-0.27%,+0.55%,-3.08%,+13.39%,-3.97%,+13.63%,2.756B,7.66,7.81,3 stars
FEBMX,American Funds Emerging Markets Bd 529F2,7.52,-0.02,-0.27%,+2.20%,-0.71%,+13.16%,-4.17%,+13.40%,2.756B,7.66,7.81,3 stars
REGHX,American Funds Emerging Markets Bd R2E,7.52,-0.02,-0.27%,+0.54%,-3.12%,+13.10%,-4.01%,+13.20%,2.756B,7.66,7.81,3 stars
EBNEX,American Funds Emerging Markets Bd F1,7.52,-0.02,-0.27%,+0.55%,-3.08%,+13.42%,-3.95%,+13.64%,2.756B,7.66,7.81,3 stars
FMEBX,American Funds Emerging Markets Bd 529F3,7.52,-0.02,-0.27%,+2.20%,-0.71%,+13.16%,-4.17%,+13.40%,2.756B,7.66,7.81,3 stars
REGEX,American Funds Emerging Markets Bd R4,7.52,-0.02,-0.27%,+0.55%,-3.07%,+13.47%,-3.91%,+13.67%,2.756B,7.66,7.81,3 stars
EBNGX,American Funds Emerging Markets Bond F3,7.52,-0.02,-0.27%,+0.56%,-2.98%,+13.86%,-3.58%,+14.05%,2.756B,7.66,7.81,3 stars
REGCX,American Funds Emerging Markets Bd R3,7.52,-0.02,-0.27%,+0.54%,-3.13%,+13.13%,-4.19%,+13.37%,2.756B,7.66,7.81,3 stars
EBNFX,American Funds Emerging Markets Bd F2,7.52,-0.02,-0.27%,+0.56%,-3.01%,+13.75%,-3.69%,+13.94%,2.756B,7.66,7.81,3 stars
EBNAX,American Funds Emerging Markets Bd A,7.52,-0.02,-0.27%,+0.55%,-3.08%,+13.39%,-3.98%,+13.69%,2.756B,7.66,7.81,3 stars
REGBX,American Funds Emerging Markets Bd R2,7.52,-0.02,-0.27%,+0.52%,-3.25%,+12.72%,-4.55%,+12.90%,2.756B,7.66,7.81,2 stars
CBNCX,American Funds Emerging Markets Bd 529C,7.52,-0.02,-0.27%,+0.52%,-3.28%,+12.51%,-4.70%,+12.79%,2.756B,7.66,7.81,2 stars
REGFX,American Funds Emerging Markets Bd R5,7.52,-0.02,-0.27%,+0.56%,-3.00%,+13.83%,-3.61%,+14.01%,2.756B,7.66,7.81,3 stars
REGJX,American Funds Emerging Markets Bd R5E,7.52,-0.02,-0.27%,+0.55%,-3.00%,+13.73%,-3.40%,+14.05%,2.756B,7.66,7.81,3 stars
CBNFX,American Funds Emerging Markets Bd 529F1,7.52,-0.02,-0.27%,+0.55%,-3.04%,+13.61%,-3.78%,+13.88%,2.756B,7.66,7.81,3 stars
CBNEX,American Funds Emerging Markets Bd 529E,7.52,-0.02,-0.27%,+0.54%,-3.14%,+13.16%,-4.17%,+13.40%,2.756B,7.66,7.81,3 stars
PRDMX,T. Rowe Price Diversified Mid Cap Gr,47.39,+0.49,+1.04%,+2.85%,+7.19%,+20.78%,+13.74%,+37.90%,2.748B,49.38,45.19,4 stars
RPTTX,T. Rowe Price Diversified Mid Cap Gr I,47.72,+0.49,+1.04%,+2.85%,+7.24%,+21.04%,+13.88%,+38.07%,2.748B,49.68,45.43,4 stars
MSIAX,Morgan Stanley Inst Intl Advtg C,22.12,+0.41,+1.89%,+0.98%,-0.96%,+17.20%,+12.06%,+28.72%,2.747B,21.74,21.37,3 stars
MFAPX,Morgan Stanley Inst Intl Advtg A,24.02,+0.45,+1.91%,+0.99%,-0.76%,+18.07%,+12.87%,+29.72%,2.747B,23.60,23.14,4 stars
MFAIX,Morgan Stanley Inst Intl Advtg I,24.71,+0.46,+1.90%,+1.00%,-0.69%,+18.38%,+13.16%,+30.09%,2.747B,24.29,23.81,4 stars
IDVSX,Morgan Stanley Inst Intl Advtg R6,24.80,+0.46,+1.89%,+1.00%,-0.66%,+18.54%,+13.29%,+30.14%,2.747B,24.38,23.90,3 stars
MSALX,Morgan Stanley Inst Intl Advtg L,22.57,+0.41,+1.85%,+1.00%,-0.89%,+17.35%,+12.21%,+29.01%,2.747B,22.19,21.80,4 stars
FHRRX,Franklin High Income R6,1.74,+0.01,+0.58%,+0.58%,+1.10%,+14.20%,+5.84%,+15.26%,2.744B,1.74,1.73,4 stars
FHQRX,Franklin High Income A,1.73,+0.01,+0.58%,+0.58%,+1.02%,+13.89%,+5.52%,+14.26%,2.744B,1.73,1.72,4 stars
FVHIX,Franklin High Income Fund,1.75,+0.01,+0.57%,+0.57%,+1.07%,+13.35%,+5.15%,+14.45%,2.744B,1.75,1.74,4 stars
FCHIX,Franklin High Income C,1.79,+0.01,+0.56%,+0.56%,+0.33%,+12.35%,+4.38%,+14.12%,2.744B,1.78,1.77,3 stars
